buffer_size 32768
Pin to CPU 4
lfsr_bit 25
Pointer Chasing: 3245541 cycles.
Pointer Chasing: 2972665 cycles.
Pointer Chasing: 2977129 cycles.
Pointer Chasing: 3189799 cycles.
Pointer Chasing: 2970662 cycles.
Pointer Chasing: 3077998 cycles.
Pointer Chasing: 2973424 cycles.
Pointer Chasing: 2973796 cycles.
Pointer Chasing: 3039130 cycles.
Pointer Chasing: 2980889 cycles.
Pointer Chasing: 2977406 cycles.
Pointer Chasing: 3161776 cycles.
Pointer Chasing: 2982459 cycles.
Pointer Chasing: 2967379 cycles.
Pointer Chasing: 3033780 cycles.
Pointer Chasing: 2967158 cycles.
Pointer Chasing: 2969710 cycles.
Pointer Chasing: 3065132 cycles.
Pointer Chasing: 2978305 cycles.
Pointer Chasing: 3095600 cycles.
Pointer Chasing: 3040612 cycles.
Pointer Chasing: 2959858 cycles.
Pointer Chasing: 2980825 cycles.
Pointer Chasing: 3014753 cycles.
Pointer Chasing: 2983346 cycles.
Pointer Chasing: 2971955 cycles.
Pointer Chasing: 2968895 cycles.
Pointer Chasing: 3115627 cycles.
Pointer Chasing: 2967077 cycles.
Pointer Chasing: 2974490 cycles.
Pointer Chasing: 3049713 cycles.
Pointer Chasing: 2978361 cycles.
Pointer Chasing: 2972124 cycles.
Pointer Chasing: 3023110 cycles.
Pointer Chasing: 3117133 cycles.
Pointer Chasing: 2971027 cycles.
Pointer Chasing: 3031677 cycles.
Pointer Chasing: 2977076 cycles.
Pointer Chasing: 2964918 cycles.
Pointer Chasing: 2970188 cycles.
Pointer Chasing: 2969377 cycles.
Pointer Chasing: 2949980 cycles.
Pointer Chasing: 3071662 cycles.
Pointer Chasing: 2965219 cycles.
Pointer Chasing: 2973253 cycles.
Pointer Chasing: 3013647 cycles.
Pointer Chasing: 2974868 cycles.
Pointer Chasing: 2976048 cycles.
Pointer Chasing: 2974801 cycles.
Pointer Chasing: 3015024 cycles.
Pointer Chasing: 2970082 cycles.
Pointer Chasing: 2967973 cycles.
Pointer Chasing: 2989370 cycles.
Pointer Chasing: 2966826 cycles.
Pointer Chasing: 2990818 cycles.
Pointer Chasing: 2980431 cycles.
Pointer Chasing: 2959439 cycles.
Pointer Chasing: 2967179 cycles.
Pointer Chasing: 3084173 cycles.
Pointer Chasing: 2977750 cycles.
Pointer Chasing: 2967106 cycles.
Pointer Chasing: 3029200 cycles.
Pointer Chasing: 2974706 cycles.
Pointer Chasing: 2984308 cycles.
Pointer Chasing: 2988397 cycles.
Pointer Chasing: 2967048 cycles.
Pointer Chasing: 2962879 cycles.
Pointer Chasing: 2961738 cycles.
Pointer Chasing: 2975278 cycles.
Pointer Chasing: 2962944 cycles.
Pointer Chasing: 2973167 cycles.
Pointer Chasing: 3050695 cycles.
Pointer Chasing: 2984244 cycles.
Pointer Chasing: 2978392 cycles.
Pointer Chasing: 3019852 cycles.
Pointer Chasing: 2962026 cycles.
Pointer Chasing: 2976051 cycles.
Pointer Chasing: 3024804 cycles.
Pointer Chasing: 2965617 cycles.
Pointer Chasing: 2967774 cycles.
Pointer Chasing: 2977342 cycles.
Pointer Chasing: 2965275 cycles.
Pointer Chasing: 2976651 cycles.
Pointer Chasing: 2970061 cycles.
Pointer Chasing: 2964921 cycles.
Pointer Chasing: 2980528 cycles.
Pointer Chasing: 2974880 cycles.
Pointer Chasing: 3001678 cycles.
Pointer Chasing: 2972582 cycles.
Pointer Chasing: 2975296 cycles.
Pointer Chasing: 3027682 cycles.
Pointer Chasing: 2968225 cycles.
Pointer Chasing: 2978888 cycles.
Pointer Chasing: 3026735 cycles.
Pointer Chasing: 2972864 cycles.
Pointer Chasing: 2972854 cycles.
Pointer Chasing: 2980713 cycles.
Pointer Chasing: 2968185 cycles.
Pointer Chasing: 2971647 cycles.
Pointer Chasing: 2985981 cycles.
Pointer Chasing: 2984424 cycles.
Pointer Chasing: 2976002 cycles.
Pointer Chasing: 2998311 cycles.
Pointer Chasing: 2971193 cycles.
Pointer Chasing: 2966465 cycles.
Pointer Chasing: 2981570 cycles.
Pointer Chasing: 2982959 cycles.
