valid,0

"Full Results Table"

Benchmark,"Base Ref Time","Est. Base Run Time","Est. Base Ratio","Base Selected","Base Status","Peak Ref Time","Est. Peak Run Time","Est. Peak Ratio","Peak Selected","Peak Status",Description
400.perlbench,9770,414.4737,23.572063,0,S,,,,,,"ref iteration #1"
400.perlbench,9770,410.08377,23.824401,0,S,,,,,,"ref iteration #2"
400.perlbench,9770,420.220684,23.249688,0,S,,,,,,"ref iteration #3"
400.perlbench,9770,403.072059,24.238842,0,S,,,,,,"ref iteration #4"
400.perlbench,9770,404.056949,24.17976,0,S,,,,,,"ref iteration #5"
400.perlbench,9770,404.802157,24.135247,1,S,,,,,,"ref iteration #6"
400.perlbench,9770,403.60371,24.206913,0,S,,,,,,"ref iteration #7"
400.perlbench,9770,407.235885,23.99101,0,S,,,,,,"ref iteration #8"
400.perlbench,9770,403.488445,24.213828,0,S,,,,,,"ref iteration #9"
400.perlbench,9770,403.482455,24.214188,0,S,,,,,,"ref iteration #10"
401.bzip2,9650,664.504853,14.522091,1,S,,,,,,"ref iteration #1"
401.bzip2,9650,664.404774,14.524279,0,S,,,,,,"ref iteration #2"
401.bzip2,9650,663.33579,14.547685,0,S,,,,,,"ref iteration #3"
401.bzip2,9650,663.560569,14.542757,0,S,,,,,,"ref iteration #4"
401.bzip2,9650,664.400639,14.524369,0,S,,,,,,"ref iteration #5"
401.bzip2,9650,665.146401,14.508084,0,S,,,,,,"ref iteration #6"
401.bzip2,9650,664.198952,14.528779,0,S,,,,,,"ref iteration #7"
401.bzip2,9650,664.826616,14.515063,0,S,,,,,,"ref iteration #8"
401.bzip2,9650,664.740948,14.516933,0,S,,,,,,"ref iteration #9"
401.bzip2,9650,664.882458,14.513844,0,S,,,,,,"ref iteration #10"
403.gcc,8050,240.67115,33.44813,1,S,,,,,,"ref iteration #1"
403.gcc,8050,240.475668,33.47532,0,S,,,,,,"ref iteration #2"
403.gcc,8050,241.166075,33.379488,0,S,,,,,,"ref iteration #3"
403.gcc,8050,241.164947,33.379644,0,S,,,,,,"ref iteration #4"
403.gcc,8050,240.218128,33.511209,0,S,,,,,,"ref iteration #5"
403.gcc,8050,241.139804,33.383124,0,S,,,,,,"ref iteration #6"
403.gcc,8050,240.373926,33.489489,0,S,,,,,,"ref iteration #7"
403.gcc,8050,240.560143,33.463565,0,S,,,,,,"ref iteration #8"
403.gcc,8050,240.05835,33.533514,0,S,,,,,,"ref iteration #9"
403.gcc,8050,240.739192,33.438677,0,S,,,,,,"ref iteration #10"
429.mcf,9120,202.172673,45.109954,0,S,,,,,,"ref iteration #1"
