##############################################################################
#   INVALID RUN -- INVALID RUN -- INVALID RUN -- INVALID RUN -- INVALID RUN  #
#                                                                            #
# 'reportable' flag not set during run                                       #
# Unknown flags were used! See                                               #
#      http://www.spec.org/cpu2006/Docs/runspec.html#flagsurl                #
# for information about how to get rid of this error.                        #
#                                                                            #
#   INVALID RUN -- INVALID RUN -- INVALID RUN -- INVALID RUN -- INVALID RUN  #
##############################################################################
                           SPEC(R) CINT2006 Summary
                                       
                           Fri Jun 27 17:18:33 2025

CPU2006 License: 0                                       Test date: Jun-2025
Test sponsor:                                Hardware availability: Dec-9999
Tested by:                                   Software availability: Mar-2008

                                  Estimated                       Estimated
                Base     Base       Base        Peak     Peak       Peak
Benchmarks      Ref.   Run Time     Ratio       Ref.   Run Time     Ratio
-------------- ------  ---------  ---------    ------  ---------  ---------
400.perlbench    9770        414      23.6  S                                  
400.perlbench    9770        410      23.8  S                                  
400.perlbench    9770        420      23.2  S                                  
400.perlbench    9770        403      24.2  S                                  
400.perlbench    9770        404      24.2  S                                  
400.perlbench    9770        405      24.1  *                                  
400.perlbench    9770        404      24.2  S                                  
400.perlbench    9770        407      24.0  S                                  
400.perlbench    9770        403      24.2  S                                  
400.perlbench    9770        403      24.2  S                                  
401.bzip2        9650        665      14.5  *                                  
401.bzip2        9650        664      14.5  S                                  
401.bzip2        9650        663      14.5  S                                  
401.bzip2        9650        664      14.5  S                                  
401.bzip2        9650        664      14.5  S                                  
401.bzip2        9650        665      14.5  S                                  
401.bzip2        9650        664      14.5  S                                  
401.bzip2        9650        665      14.5  S                                  
401.bzip2        9650        665      14.5  S                                  
401.bzip2        9650        665      14.5  S                                  
403.gcc          8050        241      33.4  *                                  
403.gcc          8050        240      33.5  S                                  
403.gcc          8050        241      33.4  S                                  
403.gcc          8050        241      33.4  S                                  
403.gcc          8050        240      33.5  S                                  
403.gcc          8050        241      33.4  S                                  
403.gcc          8050        240      33.5  S                                  
403.gcc          8050        241      33.5  S                                  
403.gcc          8050        240      33.5  S                                  
403.gcc          8050        241      33.4  S                                  
429.mcf          9120        202      45.1  S                                  
429.mcf          9120        205      44.5  S                                  
429.mcf          9120        205      44.4  S                                  
429.mcf          9120        204      44.7  S                                  
429.mcf          9120        205      44.5  S                                  
429.mcf          9120        203      44.8  *                                  
429.mcf          9120        203      44.9  S                                  
429.mcf          9120        203      44.9  S                                  
429.mcf          9120        203      44.8  S                                  
429.mcf          9120        203      44.9  S                                  
445.gobmk       10490        320      32.8  S                                  
445.gobmk       10490        324      32.3  S                                  
445.gobmk       10490        319      32.9  S                                  
445.gobmk       10490        323      32.4  S                                  
445.gobmk       10490        323      32.5  *                                  
445.gobmk       10490        323      32.5  S                                  
445.gobmk       10490        322      32.5  S                                  
445.gobmk       10490        324      32.4  S                                  
445.gobmk       10490        322      32.6  S                                  
445.gobmk       10490        324      32.4  S                                  
456.hmmer        9330       1421       6.57 *                                  
456.hmmer        9330       1422       6.56 S                                  
