##############################################################################
#   INVALID RUN -- INVALID RUN -- INVALID RUN -- INVALID RUN -- INVALID RUN  #
#                                                                            #
# 'reportable' flag not set during run                                       #
# Unknown flags were used! See                                               #
#      http://www.spec.org/cpu2006/Docs/runspec.html#flagsurl                #
# for information about how to get rid of this error.                        #
#                                                                            #
#   INVALID RUN -- INVALID RUN -- INVALID RUN -- INVALID RUN -- INVALID RUN  #
##############################################################################
                           SPEC(R) CINT2006 Summary
                                       
                           Mon Jun 30 16:16:38 2025

CPU2006 License: 0                                       Test date: Jun-2025
Test sponsor:                                Hardware availability: Dec-9999
Tested by:                                   Software availability: Mar-2008

                                  Estimated                       Estimated
                Base     Base       Base        Peak     Peak       Peak
Benchmarks      Ref.   Run Time     Ratio       Ref.   Run Time     Ratio
-------------- ------  ---------  ---------    ------  ---------  ---------
400.perlbench    9770        519      18.8  S                                  
400.perlbench    9770        515      19.0  S                                  
400.perlbench    9770        511      19.1  S                                  
400.perlbench    9770        518      18.8  S                                  
400.perlbench    9770        517      18.9  S                                  
400.perlbench    9770        512      19.1  S                                  
400.perlbench    9770        516      18.9  *                                  
400.perlbench    9770        517      18.9  S                                  
400.perlbench    9770        516      18.9  S                                  
400.perlbench    9770        515      19.0  S                                  
401.bzip2        9650        555      17.4  S                                  
401.bzip2        9650        554      17.4  S                                  
401.bzip2        9650        555      17.4  S                                  
401.bzip2        9650        555      17.4  S                                  
401.bzip2        9650        556      17.4  S                                  
401.bzip2        9650        559      17.2  S                                  
401.bzip2        9650        560      17.2  S                                  
401.bzip2        9650        557      17.3  *                                  
401.bzip2        9650        561      17.2  S                                  
401.bzip2        9650        558      17.3  S                                  
403.gcc          8050        466      17.3  S                                  
403.gcc          8050        464      17.4  S                                  
403.gcc          8050        467      17.2  S                                  
403.gcc          8050        467      17.2  S                                  
403.gcc          8050        467      17.2  S                                  
403.gcc          8050        470      17.1  S                                  
403.gcc          8050        471      17.1  S                                  
403.gcc          8050        468      17.2  *                                  
403.gcc          8050        469      17.2  S                                  
403.gcc          8050        471      17.1  S                                  
429.mcf          9120        427      21.3  S                                  
429.mcf          9120        399      22.9  S                                  
429.mcf          9120        435      21.0  S                                  
429.mcf          9120        402      22.7  S                                  
429.mcf          9120        424      21.5  S                                  
429.mcf          9120        402      22.7  S                                  
429.mcf          9120        437      20.9  S                                  
429.mcf          9120        394      23.1  S                                  
429.mcf          9120        423      21.5  *                                  
429.mcf          9120        410      22.3  S                                  
445.gobmk       10490        489      21.5  S                                  
445.gobmk       10490        486      21.6  S                                  
445.gobmk       10490        489      21.5  S                                  
445.gobmk       10490        494      21.3  S                                  
445.gobmk       10490        488      21.5  S                                  
445.gobmk       10490        490      21.4  *                                  
445.gobmk       10490        490      21.4  S                                  
445.gobmk       10490        490      21.4  S                                  
445.gobmk       10490        492      21.3  S                                  
445.gobmk       10490        492      21.3  S                                  
456.hmmer        9330        272      34.4  S                                  
456.hmmer        9330        271      34.4  S                                  
