##############################################################################
#   INVALID RUN -- INVALID RUN -- INVALID RUN -- INVALID RUN -- INVALID RUN  #
#                                                                            #
# 'reportable' flag not set during run                                       #
# Unknown flags were used! See                                               #
#      http://www.spec.org/cpu2006/Docs/runspec.html#flagsurl                #
# for information about how to get rid of this error.                        #
#                                                                            #
#   INVALID RUN -- INVALID RUN -- INVALID RUN -- INVALID RUN -- INVALID RUN  #
##############################################################################
                           SPEC(R) CINT2006 Summary
                                       
                           Wed Jul  2 16:52:46 2025

CPU2006 License: 0                                       Test date: Jul-2025
Test sponsor:                                Hardware availability: Dec-9999
Tested by:                                   Software availability: Mar-2008

                                  Estimated                       Estimated
                Base     Base       Base        Peak     Peak       Peak
Benchmarks      Ref.   Run Time     Ratio       Ref.   Run Time     Ratio
-------------- ------  ---------  ---------    ------  ---------  ---------
400.perlbench    9770        506      19.3  S                                  
400.perlbench    9770        518      18.9  S                                  
400.perlbench    9770        513      19.0  S                                  
400.perlbench    9770        526      18.6  S                                  
400.perlbench    9770        517      18.9  S                                  
400.perlbench    9770        520      18.8  *                                  
400.perlbench    9770        525      18.6  S                                  
400.perlbench    9770        523      18.7  S                                  
400.perlbench    9770        518      18.9  S                                  
400.perlbench    9770        522      18.7  S                                  
401.bzip2        9650        555      17.4  S                                  
401.bzip2        9650        555      17.4  S                                  
401.bzip2        9650        555      17.4  S                                  
401.bzip2        9650        556      17.4  S                                  
401.bzip2        9650        556      17.3  S                                  
401.bzip2        9650        556      17.4  *                                  
401.bzip2        9650        557      17.3  S                                  
401.bzip2        9650        555      17.4  S                                  
401.bzip2        9650        556      17.3  S                                  
401.bzip2        9650        557      17.3  S                                  
403.gcc          8050        464      17.3  S                                  
403.gcc          8050        463      17.4  S                                  
403.gcc          8050        465      17.3  S                                  
403.gcc          8050        471      17.1  *                                  
403.gcc          8050        470      17.1  S                                  
403.gcc          8050        470      17.1  S                                  
403.gcc          8050        472      17.0  S                                  
403.gcc          8050        471      17.1  S                                  
403.gcc          8050        472      17.0  S                                  
403.gcc          8050        472      17.0  S                                  
429.mcf          9120        394      23.2  S                                  
429.mcf          9120        377      24.2  S                                  
429.mcf          9120        408      22.3  S                                  
429.mcf          9120        397      23.0  S                                  
429.mcf          9120        370      24.6  S                                  
429.mcf          9120        431      21.1  S                                  
429.mcf          9120        402      22.7  *                                  
429.mcf          9120        391      23.3  S                                  
429.mcf          9120        407      22.4  S                                  
429.mcf          9120        424      21.5  S                                  
445.gobmk       10490        477      22.0  S                                  
445.gobmk       10490        478      22.0  S                                  
445.gobmk       10490        485      21.6  S                                  
445.gobmk       10490        481      21.8  S                                  
445.gobmk       10490        480      21.9  S                                  
445.gobmk       10490        490      21.4  S                                  
445.gobmk       10490        483      21.7  S                                  
445.gobmk       10490        492      21.3  S                                  
445.gobmk       10490        484      21.7  *                                  
445.gobmk       10490        493      21.3  S                                  
456.hmmer        9330        271      34.4  S                                  
456.hmmer        9330        272      34.3  S                                  
456.hmmer        9330        272      34.4  S                                  
456.hmmer        9330        271      34.4  S                                  
456.hmmer        9330        271      34.5  S                                  
456.hmmer        9330        272      34.3  S                                  
456.hmmer        9330        271      34.4  S                                  
456.hmmer        9330        271      34.4  S                                  
456.hmmer        9330        271      34.4  *                                  
456.hmmer        9330        272      34.4  S                                  
458.sjeng       12100        592      20.4  S                                  
458.sjeng       12100        589      20.6  S                                  
458.sjeng       12100        593      20.4  S                                  
458.sjeng       12100        603      20.1  S                                  
458.sjeng       12100        598      20.2  S                                  
458.sjeng       12100        595      20.3  S                                  
458.sjeng       12100        594      20.4  *                                  
458.sjeng       12100        605      20.0  S                                  
458.sjeng       12100        593      20.4  S                                  
458.sjeng       12100        593      20.4  S                                  
462.libquantum  20720        255      81.2  S                                  
462.libquantum  20720        261      79.3  S                                  
462.libquantum  20720        276      75.1  S                                  
462.libquantum  20720        281      73.9  S                                  
462.libquantum  20720        282      73.6  S                                  
462.libquantum  20720        287      72.2  S                                  
462.libquantum  20720        289      71.8  S                                  
462.libquantum  20720        286      72.4  S                                  
462.libquantum  20720        283      73.2  S                                  
462.libquantum  20720        283      73.2  *                                  
464.h264ref     22130        473      46.8  S                                  
464.h264ref     22130        473      46.8  S                                  
464.h264ref     22130        476      46.5  S                                  
464.h264ref     22130        475      46.6  S                                  
464.h264ref     22130        476      46.5  S                                  
464.h264ref     22130        477      46.4  S                                  
464.h264ref     22130        475      46.5  *                                  
464.h264ref     22130        475      46.6  S                                  
464.h264ref     22130        478      46.3  S                                  
