##############################################################################
#   INVALID RUN -- INVALID RUN -- INVALID RUN -- INVALID RUN -- INVALID RUN  #
#                                                                            #
# 'reportable' flag not set during run                                       #
# Unknown flags were used! See                                               #
#      http://www.spec.org/cpu2006/Docs/runspec.html#flagsurl                #
# for information about how to get rid of this error.                        #
#                                                                            #
#   INVALID RUN -- INVALID RUN -- INVALID RUN -- INVALID RUN -- INVALID RUN  #
##############################################################################
                           SPEC(R) CINT2006 Summary
                                       
                           Thu Jul 10 14:19:31 2025

CPU2006 License: 0                                       Test date: Jul-2025
Test sponsor:                                Hardware availability: Dec-9999
Tested by:                                   Software availability: Mar-2008

                                  Estimated                       Estimated
                Base     Base       Base        Peak     Peak       Peak
Benchmarks      Ref.   Run Time     Ratio       Ref.   Run Time     Ratio
-------------- ------  ---------  ---------    ------  ---------  ---------
400.perlbench    9770       1752       5.58 S                                  
400.perlbench    9770       1749       5.59 S                                  
400.perlbench    9770       1747       5.59 S                                  
400.perlbench    9770       1752       5.58 S                                  
400.perlbench    9770       1751       5.58 S                                  
400.perlbench    9770       1751       5.58 *                                  
400.perlbench    9770       1755       5.57 S                                  
400.perlbench    9770       1751       5.58 S                                  
400.perlbench    9770       1749       5.59 S                                  
400.perlbench    9770       1750       5.58 S                                  
401.bzip2        9650       1708       5.65 S                                  
401.bzip2        9650       1710       5.64 S                                  
401.bzip2        9650       1710       5.64 S                                  
401.bzip2        9650       1710       5.64 S                                  
401.bzip2        9650       1713       5.63 S                                  
401.bzip2        9650       1710       5.64 *                                  
401.bzip2        9650       1710       5.64 S                                  
401.bzip2        9650       1710       5.64 S                                  
401.bzip2        9650       1709       5.65 S                                  
401.bzip2        9650       1711       5.64 S                                  
403.gcc          8050       1269       6.34 S                                  
403.gcc          8050       1267       6.36 S                                  
403.gcc          8050       1271       6.33 S                                  
403.gcc          8050       1267       6.35 S                                  
403.gcc          8050       1264       6.37 S                                  
403.gcc          8050       1263       6.37 S                                  
403.gcc          8050       1263       6.37 S                                  
403.gcc          8050       1266       6.36 *                                  
403.gcc          8050       1266       6.36 S                                  
403.gcc          8050       1265       6.36 S                                  
429.mcf          9120       3108       2.93 S                                  
429.mcf          9120       3117       2.93 S                                  
429.mcf          9120       3133       2.91 S                                  
429.mcf          9120       3116       2.93 S                                  
429.mcf          9120       3112       2.93 S                                  
429.mcf          9120       3067       2.97 S                                  
429.mcf          9120       3091       2.95 S                                  
429.mcf          9120       3114       2.93 *                                  
429.mcf          9120       3136       2.91 S                                  
429.mcf          9120       3108       2.93 S                                  
445.gobmk       10490       1543       6.80 S                                  
445.gobmk       10490       1530       6.86 *                                  
445.gobmk       10490       1534       6.84 S                                  
445.gobmk       10490       1526       6.87 S                                  
445.gobmk       10490       1527       6.87 S                                  
445.gobmk       10490       1529       6.86 S                                  
445.gobmk       10490       1529       6.86 S                                  
445.gobmk       10490       1531       6.85 S                                  
445.gobmk       10490       1530       6.85 S                                  
445.gobmk       10490       1527       6.87 S                                  
456.hmmer        9330       1329       7.02 *                                  
456.hmmer        9330       1330       7.02 S                                  
456.hmmer        9330       1328       7.03 S                                  
456.hmmer        9330       1328       7.03 S                                  
456.hmmer        9330       1332       7.00 S                                  
456.hmmer        9330       1328       7.03 S                                  
456.hmmer        9330       1329       7.02 S                                  
456.hmmer        9330       1333       7.00 S                                  
456.hmmer        9330       1326       7.04 S                                  
456.hmmer        9330       1331       7.01 S                                  
458.sjeng       12100       2640       4.58 S                                  
458.sjeng       12100       2650       4.57 S                                  
458.sjeng       12100       2645       4.57 S                                  
458.sjeng       12100       2639       4.58 S                                  
458.sjeng       12100       2641       4.58 *                                  
458.sjeng       12100       2645       4.57 S                                  
458.sjeng       12100       2638       4.59 S                                  
458.sjeng       12100       2632       4.60 S                                  
458.sjeng       12100       2638       4.59 S                                  
458.sjeng       12100       2648       4.57 S                                  
462.libquantum  20720       1268      16.3  S                                  
462.libquantum  20720       1214      17.1  S                                  
462.libquantum  20720       1236      16.8  S                                  
462.libquantum  20720       1218      17.0  S                                  
462.libquantum  20720       1247      16.6  S                                  
462.libquantum  20720       1223      16.9  S                                  
462.libquantum  20720       1225      16.9  S                                  
462.libquantum  20720       1229      16.9  S                                  
462.libquantum  20720       1252      16.6  S                                  
462.libquantum  20720       1232      16.8  *                                  
464.h264ref     22130       2019      11.0  *                                  
464.h264ref     22130       2022      10.9  S                                  
464.h264ref     22130       2021      10.9  S                                  
464.h264ref     22130       2017      11.0  S                                  
464.h264ref     22130       2018      11.0  S                                  
