program,env,cycles,instructions,instructions/cycles
Xalan_base.default-static,asymm,806172849421,957108493405,1.19
astar_base.default-static,asymm,1002941932453,1110663204365,1.11
bzip2_base.default-static,asymm,1105061131203,2253490093478,2.04
gcc_base.default-static,asymm,940270539922,1030180612829,1.10
gobmk_base.default-static,asymm,964743065228,1708112964000,1.77
h264ref_base.default-static,asymm,936030946629,2973729977752,3.18
hmmer_base.default-static,asymm,529842501020,2799024531671,5.28
libquantum_base.default-static,asymm,526174101629,1949687329694,3.71
mcf_base.default-static,asymm,925752146933,305906617755,0.33
omnetpp_base.default-static,asymm,1494259448945,585320915272,0.39
perlbench_base.default-static,asymm,954548787920,2555258856456,2.68
sjeng_base.default-static,asymm,1241488675436,2390928022533,1.93
specrand_base.default-static,asymm,171863163,622538240,3.62
Xalan_base.default-static,async,811810132273,956692480991,1.18
astar_base.default-static,async,995470823670,1110655454260,1.12
bzip2_base.default-static,async,1101767668937,2253460527386,2.05
gcc_base.default-static,async,894045468532,989884955339,1.11
gobmk_base.default-static,async,962042290408,1708115163741,1.78
h264ref_base.default-static,async,928318913565,2973712646714,3.20
hmmer_base.default-static,async,529349405240,2799029778207,5.29
libquantum_base.default-static,async,519963383964,1949675827664,3.75
mcf_base.default-static,async,846886904914,305796813185,0.36
omnetpp_base.default-static,async,1500173750669,585328175258,0.39
perlbench_base.default-static,async,951615934263,2555244049704,2.69
sjeng_base.default-static,async,1241413609959,2390932280884,1.93
specrand_base.default-static,async,167089720,622518555,3.73
Xalan_base.default-static,disabled,512156152081,946265421251,1.85
astar_base.default-static,disabled,936707228865,1109734043757,1.18
bzip2_base.default-static,disabled,1081770549923,2253133681633,2.08
gcc_base.default-static,disabled,506728942522,965115754348,1.90
gobmk_base.default-static,disabled,936267715850,1707894826412,1.82
h264ref_base.default-static,disabled,924040512443,2973612633676,3.22
hmmer_base.default-static,disabled,527518230058,2798598988886,5.31
libquantum_base.default-static,disabled,500325046744,1949505290109,3.90
mcf_base.default-static,disabled,908941106560,305748432429,0.34
omnetpp_base.default-static,disabled,986639034736,561976389935,0.57
perlbench_base.default-static,disabled,774840133190,2481678328564,3.20
sjeng_base.default-static,disabled,1208388458741,2390888803121,1.98
specrand_base.default-static,disabled,167097808,622460524,3.73
Xalan_base.default-static,sync,816233142208,957078719531,1.17
astar_base.default-static,sync,1034318289953,1110710484672,1.07
bzip2_base.default-static,sync,1510983914519,2254033829105,1.49
gcc_base.default-static,sync,952524832917,1030616885821,1.08
gobmk_base.default-static,sync,975440538925,1708143556861,1.75
h264ref_base.default-static,sync,998336133209,2973812482212,2.98
hmmer_base.default-static,sync,532499065764,2799033581215,5.26
libquantum_base.default-static,sync,491240679696,1949640789117,3.97
mcf_base.default-static,sync,956434332290,305949756760,0.32
omnetpp_base.default-static,sync,1558184452215,585418765754,0.38
perlbench_base.default-static,sync,962445813479,2554805865243,2.65
sjeng_base.default-static,sync,1254925997797,2390960892956,1.91
specrand_base.default-static,sync,169550187,622521331,3.67
