core,name,baseline,mte
1,ludcmp,6.059583,6.054949
1,trisolv,0.004838,0.004646
1,lu,6.407218,6.696176
1,durbin,0.006953,0.007007
1,gramschmidt,7.484262,8.394178
1,cholesky,2.747373,2.779660
1,doitgen,1.021429,1.075575
1,3mm,7.031942,7.387157
1,mvt,0.028222,0.023588
1,atax,0.013893,0.014371
1,2mm,4.324178,4.329143
1,bicg,0.035453,0.041586
1,syr2k,3.788847,4.117385
1,gesummv,0.015094,0.019305
1,gemver,0.037316,0.037913
1,gemm,2.073318,2.290957
1,trmm,2.075188,1.915302
1,symm,2.833813,5.583170
1,syrk,1.560418,1.683028
1,fdtd-2d,3.899992,9.328961
1,jacobi-1d,0.003100,0.025031
1,adi,20.559292,30.163716
1,heat-3d,7.047632,20.547954
1,jacobi-2d,4.829983,27.293472
1,seidel-2d,52.273383,52.272827
1,nussinov,6.833650,6.956636
1,floyd-warshall,28.872424,31.794179
1,deriche,0.287848,0.452840
1,covariance,4.170682,4.626301
1,correlation,4.477009,4.518692
1,ludcmp,5.964556,6.078691
1,trisolv,0.004862,0.004669
1,lu,6.493947,6.812551
1,durbin,0.006951,0.007006
1,gramschmidt,6.702040,6.614228
1,cholesky,2.752380,2.778426
1,doitgen,1.023340,1.074113
1,3mm,7.021477,7.066855
1,mvt,0.026229,0.023830
1,atax,0.013916,0.014300
1,2mm,4.318452,4.398774
1,bicg,0.035449,0.041566
1,syr2k,3.857015,3.848756
1,gesummv,0.015112,0.019253
1,gemver,0.034677,0.037605
1,gemm,2.076027,2.293439
1,trmm,2.072129,2.141342
1,symm,3.046697,5.577890
1,syrk,1.550593,1.683004
1,fdtd-2d,3.893158,9.334687
1,jacobi-1d,0.003106,0.025040
1,adi,20.492547,28.481508
1,heat-3d,7.046568,20.540368
1,jacobi-2d,4.829979,27.293475
1,seidel-2d,52.272117,52.272946
1,nussinov,7.111482,7.014693
1,floyd-warshall,28.768932,31.759837
1,deriche,0.289873,0.447043
1,covariance,4.752224,4.474020
1,correlation,4.644300,4.176185
1,ludcmp,6.106500,6.065083
1,trisolv,0.004840,0.004663
1,lu,6.563515,6.441365
1,durbin,0.006954,0.006999
1,gramschmidt,6.657917,8.259386
1,cholesky,2.753538,2.776333
1,doitgen,1.021490,1.076220
1,3mm,7.014271,7.047465
1,mvt,0.026124,0.025166
1,atax,0.013901,0.014333
1,2mm,4.330008,4.365800
1,bicg,0.035442,0.041580
1,syr2k,4.187977,3.842201
1,gesummv,0.015100,0.019270
1,gemver,0.038168,0.036773
1,gemm,2.082642,2.291942
1,trmm,2.094735,1.874149
1,symm,3.147713,5.579195
1,syrk,1.532656,1.683751
1,fdtd-2d,3.882295,9.301807
1,jacobi-1d,0.003113,0.025029
1,adi,20.452868,28.467291
1,heat-3d,7.038008,20.551423
1,jacobi-2d,4.836550,27.296281
1,seidel-2d,52.280262,52.280550
1,nussinov,6.736940,7.560967
1,floyd-warshall,28.856663,31.793668
1,deriche,0.291500,0.452633
1,covariance,4.632024,4.204670
1,correlation,4.391746,4.180448
1,ludcmp,6.211698,6.005916
1,trisolv,0.004824,0.004686
1,lu,6.356007,6.713112
1,durbin,0.006950,0.007001
1,gramschmidt,6.644986,7.017418
1,cholesky,2.748614,2.780624
1,doitgen,1.021338,1.072193
1,3mm,7.011014,7.076748
1,mvt,0.024346,0.022695
1,atax,0.013911,0.014345
1,2mm,4.325919,4.335114
1,bicg,0.035441,0.041579
