core,name,baseline,mte
cxc,ludcmp,5.847533,6.033912
cxc,trisolv,0.003918,0.010667
cxc,lu,5.879350,15.005441
cxc,durbin,0.005201,0.015892
cxc,gramschmidt,14.380038,13.364131
cxc,cholesky,2.122868,7.220774
cxc,doitgen,0.814262,2.893508
cxc,3mm,5.424059,14.952034
cxc,mvt,0.030045,0.048184
cxc,atax,0.017597,0.044225
cxc,2mm,3.733012,9.417295
cxc,bicg,0.028769,0.042206
cxc,syr2k,5.181436,6.617973
cxc,gesummv,0.012157,0.017674
cxc,gemver,0.042342,0.075458
cxc,gemm,2.120805,7.141501
cxc,trmm,2.647343,4.517905
cxc,symm,3.791170,4.589982
cxc,syrk,1.719417,4.111901
cxc,fdtd-2d,7.342039,11.154270
cxc,jacobi-1d,0.003100,0.010874
cxc,adi,15.605905,23.885869
cxc,heat-3d,7.605745,14.731833
cxc,jacobi-2d,5.082054,12.961888
cxc,seidel-2d,32.349303,32.321015
cxc,nussinov,6.640723,14.710154
cxc,floyd-warshall,37.171612,112.156473
cxc,deriche,0.382882,0.508874
cxc,covariance,7.321752,8.205398
cxc,correlation,7.202573,9.751610
cxc,ludcmp,5.876526,6.074456
cxc,trisolv,0.003812,0.010666
cxc,lu,5.938073,15.297023
cxc,durbin,0.005231,0.015814
cxc,gramschmidt,20.203880,10.998371
cxc,cholesky,2.138327,7.308892
cxc,doitgen,0.819850,2.898735
cxc,3mm,5.506833,14.985995
cxc,mvt,0.029646,0.049212
cxc,atax,0.017051,0.044507
cxc,2mm,3.709491,9.255979
cxc,bicg,0.028604,0.042506
cxc,syr2k,5.268163,6.492176
cxc,gesummv,0.012180,0.017599
cxc,gemver,0.045566,0.074676
cxc,gemm,2.127114,7.272467
cxc,trmm,3.920960,4.577228
cxc,symm,3.894483,4.570898
cxc,syrk,1.705965,4.134714
cxc,fdtd-2d,7.242950,11.119215
cxc,jacobi-1d,0.003113,0.010849
cxc,adi,15.661762,24.005359
cxc,heat-3d,7.626061,14.720049
cxc,jacobi-2d,5.052518,12.981952
cxc,seidel-2d,32.326115,32.329097
cxc,nussinov,6.221290,14.773954
cxc,floyd-warshall,38.176631,112.152680
cxc,deriche,0.383467,0.498395
cxc,covariance,8.787869,10.908525
cxc,correlation,9.372290,10.164682
cxc,ludcmp,5.846367,6.108859
cxc,trisolv,0.003788,0.010684
cxc,lu,5.924148,15.017471
cxc,durbin,0.005148,0.015830
cxc,gramschmidt,20.312054,16.439290
cxc,cholesky,2.126877,7.238715
cxc,doitgen,0.818673,2.897698
cxc,3mm,5.839324,15.079595
cxc,mvt,0.030012,0.048601
cxc,atax,0.017108,0.044331
cxc,2mm,3.673318,9.315208
cxc,bicg,0.028515,0.042297
cxc,syr2k,5.356477,6.726617
cxc,gesummv,0.012169,0.017611
cxc,gemver,0.043436,0.074007
cxc,gemm,2.122859,7.227646
cxc,trmm,3.545812,4.521430
cxc,symm,3.777863,4.465957
cxc,syrk,1.718247,4.162841
cxc,fdtd-2d,7.212822,11.165293
cxc,jacobi-1d,0.003059,0.010854
cxc,adi,15.623751,23.875494
cxc,heat-3d,7.880847,16.646343
cxc,jacobi-2d,4.984669,13.116286
cxc,seidel-2d,32.364770,32.378366
cxc,nussinov,6.353761,14.740958
cxc,floyd-warshall,38.465827,112.223367
cxc,deriche,0.410907,0.509946
cxc,covariance,9.175231,10.240467
cxc,correlation,9.559442,9.816478
cxc,ludcmp,5.891512,6.090302
cxc,trisolv,0.003565,0.010552
cxc,lu,5.942576,15.027301
cxc,durbin,0.005121,0.015750
cxc,gramschmidt,19.065162,19.769422
cxc,cholesky,2.083092,7.216449
cxc,doitgen,0.824564,2.896988
cxc,3mm,5.559505,14.748066
cxc,mvt,0.029342,0.048197
cxc,atax,0.017673,0.043866
cxc,2mm,3.679181,9.123147
cxc,bicg,0.028560,0.042084
cxc,syr2k,5.293503,6.159729
cxc,gesummv,0.012055,0.017657
cxc,gemver,0.039427,0.073704
cxc,gemm,2.127667,7.097095
cxc,trmm,3.787479,4.582355
cxc,symm,3.869941,4.569370
cxc,syrk,1.708728,4.107076
cxc,fdtd-2d,7.840214,11.085302
cxc,jacobi-1d,0.003101,0.010844
cxc,adi,15.690913,23.707265
cxc,heat-3d,7.610765,14.644775
cxc,jacobi-2d,5.091505,12.954010
cxc,seidel-2d,32.339670,32.349538
cxc,nussinov,6.181330,14.898573
cxc,floyd-warshall,37.665126,112.377898
cxc,deriche,0.406117,0.510858
cxc,covariance,9.514335,10.697073
cxc,correlation,9.354560,10.382911
cxc,ludcmp,5.902756,6.094963
cxc,trisolv,0.003907,0.010592
cxc,lu,5.910952,15.040267
cxc,durbin,0.005183,0.015849
cxc,gramschmidt,20.323140,16.551500
cxc,cholesky,2.120961,7.324655
cxc,doitgen,0.802574,2.900291
cxc,3mm,5.477609,15.014666
cxc,mvt,0.030642,0.048707
cxc,atax,0.017075,0.043932
cxc,2mm,3.682287,9.037244
cxc,bicg,0.028624,0.042077
cxc,syr2k,5.362711,6.683683
cxc,gesummv,0.012116,0.017587
cxc,gemver,0.040392,0.073201
cxc,gemm,2.119635,7.278997
cxc,trmm,3.228423,4.509882
cxc,symm,3.806072,4.484880
